DATE,2G JAKARTA RAYA,2G JAVA,2G KALISUMAPA,2G SUMATERA,2G NATIONAL,2G JAKARTA RAYA MW,2G JAVA MW,2G SUMATERA MW,2G NATIONAL MW,2G JAKARTA RAYA SP,2G JAVA SP,2G KALISUMAPA SP,2G SUMATERA SP,2G NATIONAL SP,2G Blended 75 Sites MW,2G Blended 75 Sites SP,2G Blended 75 Sites,4G JAKARTA RAYA,4G JAVA,4G KALISUMAPA,4G SUMATERA,4G NATIONAL,4G JAKARTA RAYA MW,4G JAVA MW,4G SUMATERA MW,4G NATIONAL MW,4G JAKARTA RAYA SP,4G JAVA SP,4G KALISUMAPA SP,4G SUMATERA SP,4G NATIONAL SP,4G Blended 75 Sites MW,4G Blended 75 Sites SP,4G Blended 75 Sites,Threshold
5-Aug-25,0.993846699,0.99721635,0.996448799,0.987900563,0.993752929,0.993236464,0.997175272,0.987093852,0.993828203,0.996462896,0.997286321,0.996448799,0.988258116,0.993628328,0.970985237,0.970031987,0.970757934,0.997938021,0.998822791,0.99897466,0.997895404,0.998206291,0.997699517,0.998690764,0.998032601,0.998007275,0.999250185,0.999132216,0.99897466,0.997820431,0.998656798,0.988924774,0.98897664,0.988933296,0.997
6-Aug-25,0.993227333,0.997247749,0.998679084,0.988034542,0.99358161,0.992737647,0.997391464,0.98740398,0.993629938,0.995327359,0.997002928,0.998679084,0.98831122,0.9935019,0.965260989,0.972170758,0.966957562,0.997310626,0.998805224,0.999656732,0.997731652,0.997868972,0.997133579,0.998924199,0.997362788,0.997656163,0.998282987,0.998526153,0.999656732,0.997932953,0.998350614,0.986730974,0.990785244,0.987397801,0.997
7-Aug-25,0.994725338,0.997434805,0.998506683,0.985698534,0.993832955,0.994260435,0.998265256,0.987288533,0.994788762,0.996719761,0.996019914,0.998506683,0.985001753,0.992256884,0.975192276,0.925875218,0.963083244,0.998157459,0.998758381,0.999086735,0.995413211,0.997866689,0.998027898,0.998939869,0.997370086,0.998224271,0.998868511,0.998332168,0.999086735,0.994344045,0.997056603,0.993463469,0.947299882,0.985944934,0.997
8-Aug-25,0.994509074,0.998480431,0.998818738,0.986869558,0.99430326,0.993774248,0.998678939,0.981520674,0.994048233,0.997662978,0.998142186,0.998818738,0.989213255,0.99472391,0.980280706,0.933605196,0.968820331,0.997825255,0.998954132,0.999802681,0.997732553,0.998180361,0.997613338,0.999041889,0.997353209,0.997990426,0.998987858,0.998748053,0.999802681,0.997939303,0.998610326,0.992065961,0.953230765,0.985697249,0.997
9-Aug-25,0.993154167,0.997209788,0.998501325,0.989299062,0.993781484,0.992454301,0.997351392,0.991131954,0.993813838,0.996158406,0.996970063,0.998501325,0.98849605,0.993728227,0.94228879,0.982670764,0.952129081,0.997176715,0.998664017,0.99922494,0.997170521,0.997645953,0.996854459,0.998623249,0.998195557,0.997468262,0.998944658,0.998759181,0.99922494,0.996606166,0.998047758,0.971409418,0.998088673,0.975811193,0.997
10-Aug-25,0.995108092,0.997599431,0.997293022,0.988044738,0.994493466,0.994577535,0.997781005,0.991892769,0.995290279,0.997385878,0.997290029,0.997293022,0.986358748,0.993179131,0.960647753,0.952243604,0.95858401,0.997718286,0.998857264,0.997988051,0.997514155,0.997995524,0.997542617,0.998967221,0.997936781,0.997962461,0.998683183,0.9986076,0.997988051,0.997281219,0.998069825,0.972877005,0.985689648,0.974823354,0.997
11-Aug-25,0.99507921,0.997035936,0.994278881,0.986149811,0.993810685,0.99435088,0.997687347,0.99109385,0.995046764,0.99820747,0.9959265,0.994278881,0.983983199,0.991771419,0.921031477,0.972406891,0.933645829,0.997680899,0.998459804,0.996496896,0.997249407,0.997785455,0.997405415,0.99872452,0.998714233,0.997892886,0.999194718,0.997838858,0.996496896,0.996441232,0.997541533,0.966177019,0.972208738,0.967179156,0.997
12-Aug-25,0.994309192,0.992992696,0.994281489,0.98424629,0.99184513,0.993896627,0.996522984,0.983933285,0.993701615,0.996080765,0.986982334,0.994281489,0.984383493,0.988782692,0.941242652,0.995942475,0.954673261,0.997870747,0.997702625,0.997486966,0.996759438,0.997616926,0.997637411,0.998619102,0.99644097,0.997804223,0.999154571,0.99554295,0.997486966,0.996934993,0.997190835,0.977439711,0.997510046,0.980762047,0.997
13-Aug-25,0.994725516,0.996831746,0.994631813,0.987385031,0.99385488,0.994180966,0.997014001,0.988336178,0.994463066,0.997064691,0.996521363,0.994631813,0.986968136,0.992851383,0.937732048,0.994030187,0.951555127,0.997638749,0.998745021,0.998710223,0.997057575,0.997874042,0.997365466,0.998813924,0.997686321,0.997799649,0.999143039,0.998583345,0.998710223,0.996711226,0.998042899,0.953411197,0.997050344,0.960580988,0.997
14-Aug-25,0.994304355,0.996942046,0.996235504,0.979889542,0.992218133,0.993580439,0.997049829,0.984311662,0.993714,0.997415301,0.996758458,0.996235504,0.977951651,0.9897494,0.949994442,0.995852192,0.96125403,0.997992797,0.998605961,0.997685823,0.996386115,0.997871809,0.997762858,0.998689551,0.998112839,0.998053707,0.999256773,0.998409783,0.997685823,0.995424577,0.997457133,0.983714692,0.996039041,0.985778713,0.997
